aluno;sexo;idade;altura;peso;local;religiao;renda;cursinho;enem;curso;influencia;contribui;ic;trabalha;h_estudo;expect
1;0;19;1.56;63.0;0;0;6;0;2;10;1;2;1;0;24;4
2;1;19;1.76;80.0;0;0;10;0;3;10;14;2;1;0;8;4
3;1;20;1.76;75.0;0;4;7;1;3;10;1;2;1;0;10;4
4;1;21;1.80;65.0;0;3;3;1;3;10;9;10;0;0;5;1
5;1;19;1.69;53.0;1;0;4;0;1;10;14;2;0;2;7;3
6;1;20;1.84;54.0;1;0;6.5;1;3;10;1;2;1;0;20;3
7;0;25;1.49;80.0;0;4;1.25;1;3;11;15;2;3;0;20;2
8;0;18;1.73;73.0;1;0;15;0;4;10;19;2;0;0;19;3
9;1;18;1.72;66.5;1;4;1.4;1;2;10;1;2;1;0;10;4
10;0;19;1.66;61.0;0;0;4;0;2;10;26;2;2;4;4;4
11;1;19;1.84;94.0;1;3;30;0;2;12;0;5;0;0;14;4
12;1;20;1.60;66.0;0;0;13;1;2;12;18;9;0;0;4;4
13;1;19;1.76;73.0;0;0;30;1;2;4;2;7;0;0;8;4
14;1;18;1.83;65.0;0;3;20;0;3;10;24;2;0;0;7;3
15;1;22;1.80;75.0;0;0;15;1;2;12;19;9;0;0;21;5
16;1;21;1.83;70.0;0;0;10;0;1;10;4;2;0;0;2;4
17;1;24;1.64;65.0;0;3;4;1;2;10;1;2;0;3;6;4
18;1;22;1.70;56.0;1;3;4;0;5;10;4;2;1;0;7;3
19;1;21;1.80;67.0;2;3;3;1;2;10;14;2;0;0;12;3
20;0;20;1.55;45.5;0;0;8;0;3;12;11;5;1;0;21;5
21;1;21;1.82;71.0;0;0;12;0;3;10;23;2;0;0;6;4
22;1;20;1.72;80.0;0;4;7;0;3;10;20;2;0;0;4;3
23;0;21;1.53;44.0;0;4;6;0;3;2;25;2;1;1;12;4
24;1;21;1.78;84.0;0;3;12;0;4;10;20;8;0;0;5;2
25;1;19;1.81;81.0;0;1;3;0;3;12;4;2;0;0;3;4
26;1;17;1.70;62.0;0;5;3;0;2;0;8;2;1;0;2;0
27;1;19;1.65;56.0;0;0;7;1;2;3;17;5;0;0;9;4
28;1;19;1.74;69.0;1;0;3;1;2;12;2;5;0;0;40;4
29;1;19;1.64;67.0;0;3;4;1;3;0;21;5;0;4;6;3
30;1;21;1.80;65.0;0;4;6;0;1;5;17;7;0;0;5;4
31;1;20;1.78;70.0;0;0;6;0;3;12;12;1;0;0;45;4
32;1;29;1.86;87.0;1;0;1;0;3;9;1;2;2;0;26;3
33;0;18;1.69;55.0;1;3;6;0;2;12;4;9;0;0;3;4
34;0;21;1.63;50.0;1;3;2.2;1;3;0;2;6;0;0;28;4
35;0;20;1.70;58.0;0;0;5;1;2;1;5;2;3;3;8;5
36;1;19;1.78;65.8;0;4;3;0;2;12;1;2;0;3;20;5
37;1;27;1.72;65.0;0;0;7;1;2;12;10;9;0;0;18;5
38;0;19;1.62;96.0;1;0;15;0;3;10;13;2;0;0;10;3
39;1;23;1.71;83.0;0;1;6;0;1;1;4;1;0;0;15;4
40;0;19;1.70;75.0;0;0;6;0;3;10;15;2;1;0;10;3
41;0;21;1.61;51.0;0;3;20;1;3;10;22;2;0;0;5;3
42;0;18;1.64;49.0;1;0;3;0;3;10;24;2;1;0;14;3
43;0;19;1.62;54.0;0;3;6;1;2;6;15;2;0;0;6;2
44;0;17;1.68;52.0;0;0;4;0;2;10;1;2;0;0;10;4
45;1;20;1.75;62.0;0;3;10;1;4;10;14;2;0;0;5;4
46;1;19;1.62;62.0;0;4;6;1;2;4;14;5;0;0;8;3
47;1;19;1.85;94.0;1;3;6;0;3;7;1;1;0;3;15;4
48;1;18;1.75;70.0;1;;9.6;0;2;8;0;0;0;0;28;0
49;0;24;1.75;58.5;0;0;8;1;4;10;1;2;0;2;2;4
50;0;20;1.65;66.0;0;3;5;1;3;10;1;2;3;0;24;4
51;1;20;1.76;67.6;3;0;6.7;0;0;4;0;1;0;0;3;4
52;1;19;1.82;70.0;1;4;7;1;2;10;1;2;0;0;25;4
53;1;22;1.80;60.0;1;4;5;1;2;10;24;2;3;4;8;4
